income,employment,hrs_work,race,age,gender,citizen,time_to_work,lang,married,edu,disability,birth_qrtr
38000,employed,40,white,35,male,yes,NA,english,yes,grad,no,apr thru jun
50000,employed,40,white,66,male,yes,9,english,no,hs or lower,no,oct thru dec
NA,NA,NA,black,4,female,yes,NA,NA,no,hs or lower,no,jan thru mar
0,not in labor force,NA,black,16,male,yes,NA,english,no,hs or lower,no,oct thru dec
NA,NA,NA,white,9,male,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,68,male,yes,NA,english,yes,hs or lower,no,jan thru mar
30000,employed,40,white,58,male,yes,20,english,yes,hs or lower,no,jan thru mar
50000,employed,56,white,57,male,yes,NA,english,yes,hs or lower,no,jan thru mar
NA,NA,NA,white,10,male,yes,NA,other,no,hs or lower,no,apr thru jun
10000,employed,40,white,20,male,yes,20,english,yes,hs or lower,yes,oct thru dec
24000,employed,30,white,69,female,yes,20,english,yes,hs or lower,no,jul thru sep
60000,employed,68,white,20,male,yes,30,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,48,female,yes,NA,english,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,white,51,female,yes,NA,english,yes,college,no,jul thru sep
150000,employed,42,other,46,male,yes,40,english,no,hs or lower,no,apr thru jun
4800,employed,25,white,21,male,no,5,english,no,hs or lower,no,jul thru sep
0,unemployed,NA,white,61,female,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,66,female,yes,NA,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,black,24,male,yes,NA,english,yes,hs or lower,yes,apr thru jun
50000,employed,40,asian,64,male,yes,30,other,yes,college,no,jan thru mar
108000,employed,45,white,61,male,yes,20,english,yes,college,no,jul thru sep
0,not in labor force,NA,black,50,female,yes,NA,english,no,college,yes,oct thru dec
NA,NA,NA,white,10,female,yes,NA,other,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,18,female,yes,NA,english,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,white,64,male,yes,NA,english,no,college,yes,oct thru dec
0,not in labor force,NA,other,40,male,yes,NA,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,69,female,yes,NA,english,yes,hs or lower,no,jan thru mar
27900,employed,40,white,57,female,yes,10,other,yes,hs or lower,no,jan thru mar
NA,NA,NA,asian,3,male,yes,NA,NA,no,hs or lower,no,jul thru sep
NA,NA,NA,white,3,male,yes,NA,NA,no,hs or lower,no,jul thru sep
43000,employed,40,white,37,male,yes,25,english,yes,hs or lower,no,oct thru dec
0,not in labor force,NA,white,48,female,yes,NA,english,yes,hs or lower,no,apr thru jun
4300,employed,20,white,26,male,yes,20,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,62,female,yes,NA,english,yes,college,no,oct thru dec
26000,employed,50,white,53,male,yes,15,english,yes,hs or lower,no,jan thru mar
30000,employed,40,white,28,female,yes,10,english,no,college,no,jan thru mar
80000,employed,50,white,33,female,yes,45,english,yes,grad,no,jul thru sep
0,not in labor force,40,white,48,male,yes,NA,english,no,hs or lower,no,oct thru dec
16000,employed,30,white,20,female,yes,5,english,no,hs or lower,no,jan thru mar
189000,employed,50,white,53,male,yes,30,english,yes,grad,no,jan thru mar
NA,NA,NA,white,6,male,yes,NA,english,no,hs or lower,no,apr thru jun
37000,employed,45,white,64,male,yes,20,english,yes,hs or lower,no,oct thru dec
0,employed,40,white,59,female,yes,NA,english,no,college,no,oct thru dec
109000,employed,40,white,65,male,yes,20,other,no,hs or lower,yes,jan thru mar
NA,NA,NA,other,11,female,yes,NA,other,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,59,male,yes,NA,english,no,college,no,jul thru sep
2000,employed,25,white,19,male,yes,5,english,no,hs or lower,no,jan thru mar
29600,employed,37,white,54,female,yes,40,english,yes,college,no,apr thru jun
0,not in labor force,NA,other,60,female,yes,NA,other,yes,hs or lower,no,jul thru sep
NA,NA,NA,white,9,male,yes,NA,other,no,hs or lower,no,jul thru sep
0,not in labor force,NA,black,42,female,no,NA,other,yes,hs or lower,yes,jul thru sep
NA,NA,NA,white,14,male,yes,NA,other,no,hs or lower,no,jul thru sep
2000,employed,30,white,26,female,yes,60,other,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,46,male,yes,NA,english,yes,hs or lower,yes,jul thru sep
11000,employed,20,white,63,female,yes,10,english,yes,hs or lower,no,oct thru dec
NA,NA,NA,white,12,female,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,79,male,yes,NA,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,74,male,no,NA,other,yes,hs or lower,yes,jul thru sep
0,not in labor force,NA,other,43,female,no,NA,other,yes,hs or lower,no,oct thru dec
12000,employed,40,white,65,female,yes,60,english,no,hs or lower,no,jan thru mar
15000,employed,40,white,38,female,yes,20,other,no,hs or lower,no,jan thru mar
0,unemployed,NA,white,22,male,yes,NA,other,no,hs or lower,no,oct thru dec
NA,NA,NA,white,8,male,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,other,51,female,no,NA,other,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,white,93,female,yes,NA,english,no,hs or lower,yes,apr thru jun
0,not in labor force,NA,white,77,female,yes,NA,english,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,white,78,male,yes,NA,other,yes,hs or lower,yes,jul thru sep
NA,NA,NA,white,13,male,yes,NA,english,no,hs or lower,no,oct thru dec
NA,NA,NA,asian,12,female,yes,NA,other,no,hs or lower,no,apr thru jun
NA,NA,NA,white,0,female,yes,NA,NA,no,NA,no,oct thru dec
28000,employed,40,other,47,female,yes,NA,other,yes,grad,no,jan thru mar
NA,NA,NA,black,14,male,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,61,female,no,NA,other,yes,hs or lower,yes,jul thru sep
NA,NA,NA,other,4,female,yes,NA,NA,no,hs or lower,no,oct thru dec
450000,employed,55,white,65,male,yes,10,english,yes,grad,no,jan thru mar
0,not in labor force,NA,asian,55,female,yes,NA,other,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,17,male,yes,NA,english,no,hs or lower,no,jul thru sep
8000,employed,20,white,33,male,yes,30,english,no,hs or lower,no,apr thru jun
18000,employed,49,black,43,female,yes,5,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,other,44,male,yes,NA,other,no,hs or lower,yes,apr thru jun
0,employed,30,black,37,female,yes,75,english,no,hs or lower,yes,oct thru dec
NA,NA,NA,other,1,female,yes,NA,NA,no,NA,no,jul thru sep
NA,NA,NA,white,0,male,yes,NA,NA,no,NA,no,oct thru dec
18000,employed,30,white,25,female,yes,15,english,no,college,no,apr thru jun
27000,employed,40,white,42,female,yes,20,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,59,female,yes,NA,english,yes,hs or lower,yes,jul thru sep
0,not in labor force,NA,white,78,male,yes,NA,english,no,hs or lower,no,jan thru mar
12000,employed,24,white,26,female,yes,20,other,no,hs or lower,no,jul thru sep
5000,employed,40,asian,20,female,yes,NA,english,no,hs or lower,no,jul thru sep
41000,employed,40,white,38,female,yes,30,english,yes,college,no,jan thru mar
0,not in labor force,NA,white,66,female,yes,NA,english,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,other,16,male,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,asian,76,female,yes,NA,other,yes,hs or lower,yes,jul thru sep
90000,employed,40,white,38,male,yes,10,english,yes,college,no,jul thru sep
60000,employed,45,white,49,male,yes,20,other,no,hs or lower,no,jul thru sep
30000,employed,40,white,35,female,no,40,other,no,college,no,oct thru dec
0,unemployed,NA,white,64,male,yes,NA,english,no,hs or lower,yes,oct thru dec
10000,employed,40,white,23,female,yes,10,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,75,female,yes,NA,english,no,grad,no,jul thru sep
50000,employed,80,white,48,female,yes,7,english,yes,college,no,oct thru dec
0,not in labor force,NA,white,79,male,yes,NA,english,no,hs or lower,yes,oct thru dec
24000,employed,40,white,30,female,yes,15,english,yes,hs or lower,no,apr thru jun
88000,employed,40,white,27,male,yes,35,english,no,college,no,jan thru mar
18000,employed,40,other,54,female,yes,5,english,yes,hs or lower,no,apr thru jun
0,NA,NA,black,15,male,yes,NA,english,no,hs or lower,no,jul thru sep
15600,employed,40,white,47,female,yes,15,english,yes,hs or lower,no,apr thru jun
12000,employed,30,white,60,female,yes,10,english,yes,hs or lower,no,oct thru dec
30000,employed,60,other,27,female,yes,20,other,no,grad,no,oct thru dec
0,employed,40,white,58,male,yes,15,english,yes,hs or lower,no,apr thru jun
80000,employed,40,asian,51,male,yes,25,other,yes,college,no,jan thru mar
0,not in labor force,NA,white,28,female,yes,NA,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,asian,59,female,no,NA,other,yes,hs or lower,yes,jan thru mar
NA,NA,NA,other,8,male,yes,NA,english,no,hs or lower,no,jan thru mar
11400,employed,40,white,54,female,yes,3,english,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,white,68,male,yes,NA,english,yes,hs or lower,no,jul thru sep
10000,unemployed,36,black,21,female,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,45,white,57,male,yes,NA,english,yes,grad,no,jan thru mar
0,not in labor force,NA,white,69,female,yes,NA,english,yes,college,no,oct thru dec
0,NA,NA,white,15,female,yes,NA,english,no,hs or lower,no,oct thru dec
345000,employed,70,white,51,male,yes,60,english,yes,grad,no,jan thru mar
12300,employed,40,white,43,female,yes,60,english,no,hs or lower,no,jan thru mar
75000,employed,45,white,47,male,yes,30,english,yes,hs or lower,no,apr thru jun
NA,NA,NA,other,2,female,yes,NA,NA,no,NA,no,jul thru sep
22000,employed,40,asian,42,male,yes,25,other,yes,hs or lower,no,apr thru jun
0,employed,35,white,22,female,yes,60,english,no,hs or lower,no,apr thru jun
11000,employed,35,white,22,male,yes,7,english,no,hs or lower,no,jan thru mar
25200,employed,40,white,25,male,yes,5,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,other,83,female,yes,NA,other,no,hs or lower,yes,jul thru sep
1600,employed,15,white,18,female,yes,10,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,65,male,yes,NA,english,yes,college,yes,oct thru dec
20000,employed,40,white,49,male,yes,25,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,78,male,yes,NA,english,yes,hs or lower,no,apr thru jun
4500,employed,20,white,58,male,yes,5,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,asian,63,male,yes,NA,english,no,college,no,jan thru mar
0,not in labor force,NA,other,33,female,yes,NA,english,no,hs or lower,yes,oct thru dec
NA,NA,NA,white,3,male,yes,NA,NA,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,74,female,yes,NA,english,no,hs or lower,no,jan thru mar
5300,employed,40,black,52,female,yes,7,english,no,hs or lower,no,jan thru mar
16800,employed,40,white,67,female,yes,20,english,no,hs or lower,yes,jul thru sep
32000,employed,40,black,50,male,yes,15,english,yes,hs or lower,no,oct thru dec
0,not in labor force,NA,white,77,female,yes,NA,english,no,hs or lower,yes,oct thru dec
0,not in labor force,NA,white,93,female,yes,NA,english,no,hs or lower,yes,jan thru mar
NA,NA,NA,white,14,female,yes,NA,english,no,hs or lower,no,oct thru dec
NA,NA,NA,white,0,male,yes,NA,NA,no,NA,no,jul thru sep
0,not in labor force,NA,white,56,female,no,NA,other,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,white,61,female,yes,NA,english,yes,hs or lower,no,jul thru sep
110,unemployed,2,black,24,male,yes,NA,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,8,male,yes,NA,english,no,hs or lower,no,apr thru jun
0,unemployed,NA,black,24,male,yes,NA,english,no,hs or lower,yes,jul thru sep
NA,NA,NA,white,12,male,yes,NA,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,68,female,yes,NA,english,no,hs or lower,no,jan thru mar
NA,NA,NA,white,12,male,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,81,female,yes,NA,english,no,hs or lower,no,jan thru mar
45000,employed,40,black,57,male,yes,25,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,82,female,yes,NA,other,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,33,female,yes,NA,english,yes,college,no,oct thru dec
125000,employed,60,white,61,male,yes,45,english,yes,hs or lower,yes,jul thru sep
0,not in labor force,NA,white,66,female,yes,NA,english,no,hs or lower,yes,jul thru sep
90000,employed,40,white,62,female,yes,20,english,yes,hs or lower,no,oct thru dec
0,employed,50,white,27,female,yes,NA,english,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,white,39,male,yes,NA,english,no,hs or lower,yes,jan thru mar
NA,NA,NA,other,5,male,yes,NA,english,no,hs or lower,no,jul thru sep
10500,unemployed,35,white,46,male,yes,NA,other,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,67,male,yes,NA,english,yes,grad,no,oct thru dec
0,not in labor force,NA,white,74,male,yes,NA,english,yes,hs or lower,yes,apr thru jun
NA,NA,NA,white,5,male,yes,NA,english,no,hs or lower,no,jul thru sep
20000,employed,40,white,28,male,yes,60,other,yes,college,no,jul thru sep
26000,employed,40,white,31,female,yes,5,english,yes,hs or lower,no,oct thru dec
32000,employed,40,black,57,female,yes,10,english,no,hs or lower,no,jan thru mar
6000,unemployed,16,asian,26,male,yes,NA,english,no,college,no,jul thru sep
0,not in labor force,NA,white,17,male,yes,NA,other,no,hs or lower,no,jan thru mar
5000,not in labor force,35,white,70,female,yes,NA,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,asian,67,male,yes,NA,other,yes,grad,yes,jul thru sep
39000,employed,40,black,42,male,yes,10,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,60,male,yes,NA,english,yes,hs or lower,no,jan thru mar
NA,NA,NA,white,8,male,yes,NA,english,no,hs or lower,no,oct thru dec
52000,employed,40,white,52,male,yes,10,english,yes,hs or lower,no,oct thru dec
40000,employed,40,white,37,male,yes,25,english,yes,hs or lower,no,apr thru jun
42500,not in labor force,40,white,36,female,yes,NA,english,yes,college,no,oct thru dec
NA,NA,NA,asian,11,male,yes,NA,other,no,hs or lower,no,apr thru jun
44000,employed,40,white,33,female,yes,25,english,yes,college,no,oct thru dec
0,not in labor force,NA,white,39,female,yes,NA,english,yes,hs or lower,no,oct thru dec
0,not in labor force,NA,white,57,male,yes,NA,english,no,hs or lower,yes,jul thru sep
NA,NA,NA,white,11,male,yes,NA,english,no,hs or lower,no,jul thru sep
58000,employed,53,white,32,male,yes,15,english,yes,grad,no,apr thru jun
3500,employed,40,white,34,male,yes,35,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,88,male,yes,NA,english,yes,hs or lower,no,jul thru sep
NA,NA,NA,white,9,male,yes,NA,english,no,hs or lower,no,jul thru sep
24000,employed,40,white,33,male,yes,15,english,yes,hs or lower,no,oct thru dec
56000,employed,40,black,52,female,yes,20,other,no,grad,no,jan thru mar
NA,NA,NA,white,7,male,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,74,male,yes,NA,other,no,hs or lower,no,oct thru dec
NA,NA,NA,other,7,female,yes,NA,english,no,hs or lower,no,oct thru dec
80000,employed,40,white,68,male,yes,40,other,yes,college,no,apr thru jun
0,not in labor force,NA,white,64,female,yes,NA,english,yes,hs or lower,no,jan thru mar
0,employed,60,white,49,male,yes,NA,english,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,asian,53,female,yes,NA,other,no,hs or lower,yes,apr thru jun
24300,employed,40,white,60,female,yes,25,english,no,hs or lower,no,oct thru dec
9400,employed,40,white,27,male,yes,60,other,no,hs or lower,no,jul thru sep
15000,employed,70,asian,36,female,yes,5,other,no,hs or lower,no,jan thru mar
18500,employed,40,other,24,male,no,20,other,no,hs or lower,no,apr thru jun
0,not in labor force,NA,black,56,male,yes,NA,english,no,hs or lower,no,jul thru sep
48000,employed,40,white,56,male,yes,45,english,no,college,no,jan thru mar
NA,NA,NA,black,2,male,yes,NA,NA,no,NA,no,apr thru jun
NA,NA,NA,white,11,female,yes,NA,english,no,hs or lower,no,jul thru sep
250000,employed,45,white,57,male,yes,20,english,yes,grad,no,apr thru jun
0,not in labor force,NA,white,32,male,yes,NA,english,yes,grad,no,oct thru dec
70000,employed,40,asian,63,female,yes,15,other,yes,college,yes,jan thru mar
2000,employed,12,white,22,female,yes,5,english,no,hs or lower,no,oct thru dec
48000,employed,40,white,56,male,yes,10,english,yes,grad,no,jan thru mar
105000,employed,40,white,43,male,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,76,male,yes,NA,english,no,hs or lower,yes,jul thru sep
0,employed,20,white,48,female,yes,15,english,yes,college,no,apr thru jun
NA,NA,NA,white,5,male,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,asian,19,male,no,NA,other,no,hs or lower,no,jan thru mar
18000,employed,40,white,44,male,yes,1,other,no,grad,no,jul thru sep
0,not in labor force,NA,black,59,female,yes,NA,english,no,hs or lower,yes,oct thru dec
NA,NA,NA,black,7,female,yes,NA,english,no,hs or lower,no,oct thru dec
42000,employed,40,white,38,male,yes,20,english,yes,hs or lower,no,jan thru mar
NA,NA,NA,asian,12,female,yes,NA,other,no,hs or lower,no,oct thru dec
NA,NA,NA,white,14,female,yes,NA,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,white,21,male,yes,NA,english,no,hs or lower,no,jan thru mar
46100,employed,40,white,58,female,yes,15,english,yes,hs or lower,no,jan thru mar
3000,employed,10,white,24,male,yes,20,english,yes,college,no,apr thru jun
31100,employed,40,black,50,female,no,30,other,yes,hs or lower,no,jul thru sep
42000,employed,40,white,52,female,yes,10,english,yes,hs or lower,no,apr thru jun
30000,employed,55,asian,24,female,yes,40,other,no,college,no,oct thru dec
0,NA,NA,white,15,male,yes,NA,english,no,hs or lower,no,apr thru jun
0,unemployed,NA,white,27,male,yes,NA,english,no,college,no,jan thru mar
0,not in labor force,NA,white,53,female,no,NA,other,yes,hs or lower,no,jul thru sep
0,not in labor force,NA,other,89,male,yes,NA,other,yes,hs or lower,yes,jan thru mar
0,not in labor force,NA,white,74,female,yes,NA,english,no,hs or lower,no,apr thru jun
100,unemployed,4,white,33,male,yes,NA,english,no,hs or lower,no,oct thru dec
35000,employed,40,white,33,male,yes,23,other,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,64,female,yes,NA,english,yes,college,no,oct thru dec
40000,not in labor force,55,white,62,male,yes,NA,english,yes,hs or lower,yes,oct thru dec
50000,employed,50,other,45,male,yes,15,english,yes,hs or lower,no,jan thru mar
53000,employed,38,white,28,male,yes,10,english,no,college,no,oct thru dec
NA,NA,NA,white,0,male,yes,NA,NA,no,NA,no,jul thru sep
900,unemployed,25,black,19,female,yes,NA,english,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,61,female,yes,NA,english,yes,grad,no,apr thru jun
0,not in labor force,NA,other,17,male,yes,NA,other,no,hs or lower,no,oct thru dec
1300,employed,5,white,21,female,yes,5,english,no,hs or lower,no,jul thru sep
NA,NA,NA,white,3,male,yes,NA,NA,no,hs or lower,no,jul thru sep
NA,NA,NA,white,0,male,yes,NA,NA,no,NA,no,jan thru mar
NA,NA,NA,white,6,female,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,44,female,no,NA,english,yes,hs or lower,no,jan thru mar
60000,employed,40,white,48,male,yes,10,english,yes,hs or lower,no,jan thru mar
NA,NA,NA,white,8,female,yes,NA,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,0,female,yes,NA,NA,no,NA,no,apr thru jun
5000,unemployed,40,other,38,female,no,NA,other,yes,hs or lower,no,oct thru dec
0,not in labor force,NA,other,16,female,yes,NA,other,no,hs or lower,no,apr thru jun
30000,employed,45,white,28,female,yes,10,english,no,hs or lower,no,jan thru mar
NA,NA,NA,black,10,female,yes,NA,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,asian,24,female,no,NA,other,yes,hs or lower,no,apr thru jun
NA,NA,NA,white,3,female,yes,NA,NA,no,hs or lower,no,jan thru mar
0,not in labor force,NA,other,68,female,yes,NA,other,yes,hs or lower,no,apr thru jun
NA,NA,NA,white,5,female,yes,NA,english,no,hs or lower,yes,jul thru sep
0,not in labor force,NA,white,54,female,yes,NA,english,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,white,73,male,yes,NA,other,yes,hs or lower,no,apr thru jun
33900,employed,40,white,46,male,yes,45,english,yes,college,yes,oct thru dec
0,not in labor force,NA,white,28,female,yes,NA,english,yes,college,no,jul thru sep
0,not in labor force,NA,white,64,male,yes,NA,english,yes,hs or lower,no,jan thru mar
63000,employed,40,white,61,female,yes,15,english,no,college,no,apr thru jun
45000,employed,42,white,31,male,yes,30,english,yes,hs or lower,no,oct thru dec
50000,employed,50,white,29,male,yes,45,other,no,college,no,jul thru sep
62000,employed,40,white,49,male,yes,30,english,yes,hs or lower,no,jul thru sep
65000,employed,43,white,50,male,yes,45,english,yes,hs or lower,no,jan thru mar
0,unemployed,NA,white,37,female,yes,NA,english,yes,college,yes,jul thru sep
15000,employed,30,black,44,female,yes,5,english,no,hs or lower,yes,oct thru dec
13700,employed,37,white,29,male,yes,5,english,no,college,no,apr thru jun
15000,employed,32,white,56,female,yes,15,english,no,hs or lower,no,jan thru mar
2000,not in labor force,38,white,26,female,yes,NA,english,yes,hs or lower,no,jan thru mar
1200,employed,25,white,32,female,yes,45,english,yes,hs or lower,no,apr thru jun
35000,employed,30,white,56,female,yes,60,english,yes,grad,no,jan thru mar
0,not in labor force,NA,white,77,male,yes,NA,english,yes,hs or lower,yes,oct thru dec
50000,employed,40,white,37,male,yes,20,english,no,hs or lower,no,apr thru jun
0,not in labor force,40,other,53,female,yes,NA,other,yes,hs or lower,no,jan thru mar
NA,NA,NA,other,6,male,yes,NA,other,no,hs or lower,no,jul thru sep
0,NA,NA,asian,15,female,yes,NA,other,no,hs or lower,no,apr thru jun
17000,employed,40,other,33,female,yes,30,english,no,hs or lower,no,oct thru dec
57000,employed,50,white,55,male,yes,60,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,44,female,yes,NA,english,no,college,no,oct thru dec
16000,employed,40,white,18,male,no,5,other,no,hs or lower,no,jan thru mar
NA,NA,NA,white,5,male,yes,NA,english,no,hs or lower,no,jan thru mar
0,not in labor force,NA,other,70,female,yes,NA,other,no,hs or lower,yes,apr thru jun
0,not in labor force,NA,asian,39,female,no,NA,other,yes,hs or lower,no,jan thru mar
2500,employed,35,white,24,female,yes,10,other,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,65,female,yes,NA,english,no,hs or lower,no,jan thru mar
10000,employed,25,white,20,female,yes,10,english,no,hs or lower,no,apr thru jun
79000,employed,40,white,46,female,yes,60,english,no,college,no,apr thru jun
0,employed,8,other,49,female,no,45,other,no,hs or lower,no,jan thru mar
NA,NA,NA,white,12,female,yes,NA,english,no,hs or lower,no,oct thru dec
35000,employed,40,white,38,male,yes,45,english,yes,hs or lower,no,apr thru jun
0,not in labor force,NA,white,70,male,yes,NA,english,yes,grad,no,jul thru sep
41000,employed,40,white,56,male,yes,15,english,yes,hs or lower,no,jul thru sep
49000,employed,45,white,39,female,yes,15,english,no,hs or lower,no,oct thru dec
NA,NA,NA,white,3,male,yes,NA,NA,no,hs or lower,no,jan thru mar
0,unemployed,NA,white,33,female,no,NA,other,yes,hs or lower,no,oct thru dec
200,employed,15,white,36,female,yes,5,english,yes,hs or lower,no,jan thru mar
NA,NA,NA,white,14,female,yes,NA,english,no,hs or lower,no,apr thru jun
45000,employed,40,white,27,male,yes,15,english,no,grad,no,jul thru sep
59000,employed,40,black,32,female,yes,NA,english,no,college,no,jan thru mar
0,employed,35,white,32,male,no,5,other,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,white,62,female,yes,NA,english,yes,hs or lower,no,apr thru jun
6000,employed,30,other,18,female,no,60,other,no,hs or lower,no,oct thru dec
NA,NA,NA,white,8,female,yes,NA,other,no,hs or lower,no,jul thru sep
62000,employed,40,white,50,male,yes,25,english,yes,college,no,jul thru sep
45000,employed,45,white,38,male,yes,45,english,yes,college,no,jul thru sep
0,employed,60,white,58,female,yes,40,other,no,grad,yes,apr thru jun
100000,employed,50,white,47,male,yes,NA,english,yes,college,no,jan thru mar
65000,employed,45,white,54,male,yes,10,english,no,hs or lower,no,jul thru sep
5800,employed,20,white,50,female,yes,20,english,no,hs or lower,no,oct thru dec
50000,employed,40,white,24,female,yes,45,english,no,college,no,jul thru sep
680,employed,5,white,19,female,yes,5,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,75,male,yes,NA,english,no,hs or lower,yes,oct thru dec
0,unemployed,NA,other,56,female,yes,NA,other,no,hs or lower,no,apr thru jun
NA,NA,NA,other,6,female,yes,NA,english,no,hs or lower,no,jul thru sep
12000,employed,40,white,55,male,yes,15,english,no,hs or lower,no,jan thru mar
74000,employed,50,other,38,female,yes,30,other,yes,college,no,jan thru mar
0,not in labor force,NA,white,70,male,yes,NA,english,yes,hs or lower,yes,jul thru sep
0,unemployed,NA,asian,19,female,no,NA,other,no,hs or lower,no,apr thru jun
0,not in labor force,NA,white,76,male,yes,NA,english,no,grad,no,oct thru dec
0,not in labor force,NA,white,48,female,yes,NA,english,yes,hs or lower,no,jul thru sep
40000,employed,40,white,53,male,yes,NA,english,yes,college,yes,apr thru jun
3000,employed,25,white,19,female,yes,2,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,66,female,yes,NA,english,yes,college,no,jan thru mar
24700,employed,50,black,24,female,yes,35,english,no,college,no,jul thru sep
NA,NA,NA,white,8,male,yes,NA,english,no,hs or lower,no,apr thru jun
0,not in labor force,NA,black,66,male,no,NA,other,no,hs or lower,no,jan thru mar
NA,NA,NA,white,12,male,yes,NA,english,no,hs or lower,no,oct thru dec
30000,unemployed,40,other,24,female,yes,NA,english,no,college,no,apr thru jun
NA,NA,NA,white,7,male,yes,NA,other,no,hs or lower,no,jan thru mar
9600,employed,37,white,44,female,yes,10,other,yes,hs or lower,no,jan thru mar
0,not in labor force,NA,other,75,male,yes,NA,other,yes,hs or lower,yes,jan thru mar
20000,employed,45,white,33,male,yes,15,english,yes,hs or lower,no,oct thru dec
0,employed,40,white,46,male,yes,NA,english,yes,college,no,oct thru dec
20000,employed,30,white,48,female,yes,15,english,no,hs or lower,no,oct thru dec
NA,NA,NA,white,10,male,yes,NA,other,no,hs or lower,no,oct thru dec
0,not in labor force,NA,white,60,female,yes,NA,other,yes,hs or lower,no,oct thru dec
35000,employed,50,white,47,male,yes,5,english,yes,grad,no,jan thru mar
NA,NA,NA,white,13,male,yes,NA,english,no,hs or lower,no,apr thru jun
11000,employed,40,black,53,female,yes,NA,english,no,hs or lower,no,apr thru jun
20000,employed,35,white,28,female,yes,10,english,no,hs or lower,no,apr thru jun
NA,NA,NA,white,9,female,yes,NA,other,no,hs or lower,no,jul thru sep
0,NA,NA,white,15,male,yes,NA,english,no,hs or lower,no,jul thru sep
0,not in labor force,NA,white,63,female,yes,NA,english,yes,grad,no,jul thru sep
75000,employed,40,asian,29,male,no,60,other,yes,college,no,jul thru sep
NA,NA,NA,white,6,female,yes,NA,other,no,hs or lower,no,apr thru jun
NA,NA,NA,white,9,female,yes,NA,english,no,hs or lower,no,jul thru sep
3500,not in labor force,25,white,18,female,yes,NA,english,no,hs or lower,no,jul thru sep
NA,NA,NA,white,11,male,yes,NA,english,no,hs or lower,no,jul thru sep
40000,employed,32,white,50,female,yes,10,english,yes,hs or lower,no,apr thru jun
